	Iteration	Sample_name	Coverage	Difference
1	1	V204	38.04743222	38.04743222
2	2	V514	54.35143363	16.30400141
3	3	V396	64.08350093	9.732067302
4	4	V3	70.37024826	6.286747332
5	5	V373	75.23655666	4.866308397
6	6	V31	78.42086754	3.184310881
7	7	V502	81.06557647	2.644708934
8	8	V379	82.90802589	1.842449419
9	9	V433	84.45759564	1.549569747
10	10	V69	85.73736441	1.279768773
11	11	V475	87.0698845	1.332520084
12	12	V76	88.04083831	0.97095381
13	13	V556	89.02937589	0.98853758
14	14	V218	89.90142099	0.872045102
15	15	V92	90.65587463	0.754453639
16	16	V326	91.25921774	0.603343114
17	17	V357	91.7823349	0.523117163
18	18	V274	92.29446221	0.512127306
19	19	V517	92.75164024	0.457178025
20	20	V89	93.12529535	0.373655116
21	21	V439	93.49070808	0.365412724
22	22	V12	93.81380985	0.323101777
23	23	V416	94.1242733	0.310463442
24	24	V287	94.39352478	0.269251481
25	25	V503	94.6594793	0.265954524
26	26	V110	94.8737815	0.214302199
27	27	V307	95.10182102	0.22803952
28	28	V425	95.30623235	0.204411328
29	29	V471	95.51009418	0.203861836
30	30	V387	95.68428341	0.174189223
31	31	V320	95.83374545	0.149462047
32	32	V11	95.98485598	0.151110525
33	33	V381	96.12222918	0.137373205
34	34	V367	96.23927115	0.11704197
35	35	V436	96.36290704	0.123635884
36	36	V70	96.46786017	0.104953128
37	37	V51	96.57391228	0.106052114
38	38	V460	96.67282099	0.098908707
39	39	V269	96.76898223	0.096161243
40	40	V10	96.85854956	0.089567329
41	41	V6	96.94866638	0.090116822
42	42	V185	97.04317915	0.094512765
43	43	V5	97.12120713	0.07802798
44	44	V515	97.20582902	0.084621894
45	45	V371	97.27561461	0.069785588
46	46	V450	97.35693954	0.081324937
47	47	V295	97.4212302	0.06429066
48	48	V415	97.48826833	0.067038124
49	49	V127	97.54651457	0.058246239
50	50	V60	97.60146385	0.054949282
51	51	V457	97.65971009	0.058246239
52	52	V236	97.71630785	0.05659776
53	53	V119	97.77070764	0.054399789
54	54	V45	97.82181047	0.051102832
55	55	V55	97.86906685	0.047256382
56	56	V57	97.91632323	0.047256382
57	57	V461	97.96248063	0.046157397
58	58	V93	98.00424208	0.041761454
59	59	V289	98.05479542	0.050553339
60	60	V548	98.09325992	0.038464497
61	61	V400	98.13172442	0.038464497
62	62	V378	98.16469399	0.032969569
63	63	V197	98.20480696	0.040112976
64	64	V88	98.240524	0.035717033
65	65	V490	98.27624103	0.035717033
66	66	V215	98.30756212	0.031321091
67	67	V1	98.34163067	0.034068555
68	68	V9	98.37405075	0.032420076
69	69	V376	98.41031728	0.036266526
70	70	V46	98.44273735	0.032420076
71	71	V479	98.47405844	0.031321091
72	72	V447	98.50537953	0.031321091
73	73	V330	98.53560164	0.030222105
74	74	V111	98.56087831	0.02527667
75	75	V551	98.58615498	0.02527667
76	76	V253	98.61143165	0.02527667
77	77	V532	98.63670832	0.02527667
78	78	V511	98.66253448	0.025826162
79	79	V419	98.68506369	0.022529206
80	80	V329	98.70759289	0.022529206
81	81	V15	98.72902311	0.02143022
82	82	V292	98.75100282	0.021979713
83	83	V190	98.77463102	0.023628191
84	84	V65	98.79661073	0.021979713
85	85	V140	98.81749146	0.020880727
86	86	V451	98.8367237	0.019232249
87	87	V393	98.85595595	0.019232249
88	88	V507	98.8751882	0.019232249
89	89	V8	98.89332146	0.018133263
90	90	V153	98.91200422	0.018682756
91	91	V546	98.93288495	0.020880727
92	92	V345	98.94991922	0.017034277
93	93	V191	98.96750299	0.01758377
94	94	V37	98.98398778	0.016484785
95	95	V469	99.00267054	0.018682756
96	96	V525	99.01915532	0.016484785
97	97	V321	99.03399163	0.014836306
98	98	V210	99.04827844	0.014286813
99	99	V384	99.06586221	0.01758377
100	100	V545	99.08069852	0.014836306
101	101	V7	99.09498533	0.014286813
102	102	V401	99.11037113	0.015385799
103	103	V518	99.12575693	0.015385799
104	104	V79	99.1433407	0.01758377
105	105	V394	99.158177	0.014836306
106	106	V18	99.17136483	0.013187828
107	107	V275	99.18290418	0.011539349
108	108	V2	99.19389404	0.010989856
109	109	V426	99.20543338	0.011539349
110	110	V377	99.21642324	0.010989856
111	111	V553	99.22631411	0.009890871
112	112	V365	99.23620498	0.009890871
113	113	V448	99.24609585	0.009890871
114	114	V225	99.25598672	0.009890871
115	115	V528	99.26642709	0.010440364
116	116	V148	99.27521897	0.008791885
117	117	V4	99.28565934	0.010440364
118	118	V268	99.29445122	0.008791885
119	119	V522	99.30324311	0.008791885
120	120	V99	99.31313398	0.009890871
121	121	V521	99.32247536	0.009341378
122	122	V308	99.33236623	0.009890871
123	123	V516	99.3422571	0.009890871
124	124	V147	99.34995	0.007692899
125	125	V504	99.35874188	0.008791885
126	126	V134	99.36753377	0.008791885
127	127	V36	99.37522667	0.007692899
128	128	V152	99.38401855	0.008791885
129	129	V85	99.39226094	0.008242392
130	130	V260	99.40050334	0.008242392
131	131	V84	99.40819623	0.007692899
132	132	V231	99.41643863	0.008242392
133	133	V459	99.42413153	0.007692899
134	134	V271	99.43237392	0.008242392
135	135	V58	99.44061631	0.008242392
136	136	V408	99.44830921	0.007692899
137	137	V303	99.45490312	0.006593914
138	138	V132	99.46204653	0.007143407
139	139	V74	99.46973943	0.007692899
140	140	V351	99.47688284	0.007143407
141	141	V192	99.48402624	0.007143407
142	142	V429	99.49226864	0.008242392
143	143	V151	99.49941204	0.007143407
144	144	V300	99.50655545	0.007143407
145	145	V26	99.51369886	0.007143407
146	146	V54	99.51919378	0.005494928
147	147	V404	99.5257877	0.006593914
148	148	V312	99.53128263	0.005494928
149	149	V427	99.53732705	0.006044421
150	150	V411	99.54337147	0.006044421
151	151	V519	99.5488664	0.005494928
152	152	V126	99.55436132	0.005494928
153	153	V125	99.55985625	0.005494928
154	154	V256	99.5642522	0.004395943
155	155	V530	99.56974712	0.005494928
156	156	V342	99.57414307	0.004395943
